surah,kazimirski_item_declared_num,classification,canonical_ayah_range,french_text,note
1,1,B,1:2,"Louange à Dieu, maître de l’univers",
1,2,B,1:3,"Le clément, le miséricordieux,",
1,3,B,1:4,Souverain au jour de la rétribution.,
1,4,B,1:5,"C’est toi que nous adorons, c’est toi dont nous implorons le secours.",
1,5,B,1:6,"Dirige-nous dans le sentier droit,",
1,6,D,1:7,"Dans le sentier de ceux que tu as comblés de tes bienfaits,",
1,7,D,1:7,"Non pas de ceux qui ont encouru ta colère, ni de ceux qui s’égarent.",
2,1,C,2:1-2:2,A. L. M. Voici le livre sur lequel il n’y a point de doute ; c’est la direction de ceux qui craignent le Seigneur ;,"ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,2,B,2:3,"De ceux qui croient aux choses cachées, qui observent exactement la prière, et font des largesses des biens que nous leur dispensons ;","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,3,B,2:4,De ceux qui croient aux révélations envoyées d’en haut à toi et avant toi ; de ceux qui croient avec certitude à la vie future.,"ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,4,B,2:5,"Eux seuls seront conduits par leur Seigneur, eux seuls seront bienheureux.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,5,B,2:6,"Pour les infidèles, il leur est égal que tu les avertisses ou non : ils ne croiront pas.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,6,B,2:7,"Dieu a apposé un sceau sur leurs cœurs et sur leurs oreilles ; leurs yeux sont couverts d’un bandeau, et le châtiment cruel les attend.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,7,B,2:8,,"ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,8,B,2:9,"Il est des hommes qui disent : Nous croyons en Dieu et au jour dernier, et cependant ils ne sont pas du nombre des croyants.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,9,B,2:10,"Ils cherchent à tromper Dieu et ceux qui croient, mais ils ne tromperont qu’eux-mêmes et ils ne le comprennent pas.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,10,B,2:11,"Une infirmité siège dans leurs cœurs, et Dieu ne fera que l’accroître ; un châtiment douloureux leur est réservé, parce qu’ils ont traité les prophètes de menteurs.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,11,B,2:12,"Lorsqu’on leur dit : Ne commettez point de désordres sur la terre, ils répondent : Loin de là, nous y introduisons le bon ordre.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,12,B,2:13,"Ils commettent des désordres, mais ils ne le comprennent pas.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,13,B,2:14,"Lorsqu’on leur dit : Croyez, croyez ainsi que croient tant d’autres, ils répondent : Croirons-nous comme croient les sots ? N’est-ce pas plutôt eux qui sont des sots ? Mais ils ne le sentent pas.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,14,B,2:15,"S’ils rencontrent des fidèles, ils disent : Nous avons la même croyance que vous ; mais dès qu’ils se trouvent à l’écart, en société de leurs tentateurs, ils disent : Nous sommes avec vous, et nous nous rions de ceux-là.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,15,B,2:16,"Dieu se rira d’eux ; Il les fera persister longtemps dans leur rébellion, errant incertains çà et là.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,16,B,2:17,"Ce sont eux qui ont acheté l’erreur avec la monnaie de la vérité, mais leur marché ne leur a point profité ; Ils ne sont plus dirigés dans la droite voie.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,17,B,2:18,"Ils ressemblent à celui qui a allumé du feu ; lorsque le feu a jeté sa clarté sur les objets d’alentour, et que Dieu l’a enlevée soudain, laissant les hommes dans les ténèbres, ils ne sauraient voir.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,18,B,2:19,"Sourds, muets et aveugles, ils ne peuvent plus revenir sur leurs pas.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,19,C,2:20-2:21,"Ils ressemblent à ceux qui, lorsqu’un nuage gros de ténèbres, de tonnerre et d’éclairs, fond du haut des cieux, se bouchent les oreilles de leurs doigts, à cause du fracas du tonnerre et par crainte de la mort pendant que le Seigneur enveloppe de tous côtés les infidèles.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,20,B,2:22,"Peu s’en faut que la foudre ne les prive de la vue ; Lorsque l’éclair brille, ils marchent à sa clarté ; et lorsqu’il les plonge dans les ténèbres, ils s’arrêtent. Si Dieu voulait, il leur ôterait la vue et l’ouïe, car il est tout-puissant. Ô hommes ! Adorez votre Seigneur, celui qui vous a créés, vous et ceux qui vous ont précédés. Craignez-moi.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
