surah,canonical_ayah_count,kazimirski_declared_count,kazimirski_actual_li_count,flugel_offset_indicator,direct_1_1,offset_only,one_to_many_YN,many_to_one_YN,ambiguous_YN,manual_review_required,A,B,C,D,F,uncovered_canonical_ayahs,muqattaat,verification_level
1,7,7,7,NO,NO,NO,NO,YES,YES,YES,0,5,0,2,0,1,NO,FULL-TEXT-SAMPLE-VERIFIED
2,286,286,287,NO,NO,NO,YES,YES,YES,YES,22,237,9,18,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
3,200,200,200,NO,NO,NO,YES,YES,NO,YES,1,160,14,25,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
4,176,175,175,YES,NO,NO,YES,YES,NO,YES,13,137,10,15,0,0,NO,FULL-TEXT-SAMPLE-VERIFIED
5,120,120,120,NO,NO,NO,YES,YES,NO,YES,13,86,7,14,0,0,NO,CONCORDANCE-DERIVED-ONLY
6,165,165,165,NO,NO,NO,YES,YES,NO,YES,128,31,2,4,0,0,NO,CONCORDANCE-DERIVED-ONLY
7,206,205,205,YES,NO,NO,YES,YES,NO,YES,10,179,6,10,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
8,75,76,76,YES,NO,NO,YES,YES,NO,YES,35,36,1,4,0,0,NO,FULL-TEXT-SAMPLE-VERIFIED
9,129,130,130,YES,NO,NO,NO,YES,NO,YES,60,68,0,2,0,0,NO,FULL-TEXT-SAMPLE-VERIFIED
10,109,109,109,NO,NO,NO,YES,YES,NO,YES,38,68,1,2,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
11,123,123,123,NO,NO,NO,YES,YES,NO,YES,5,99,7,12,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
12,111,111,111,NO,NO,NO,YES,YES,NO,YES,103,5,1,2,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
13,43,43,43,NO,NO,NO,YES,YES,NO,YES,25,12,2,4,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
14,52,52,52,NO,NO,NO,YES,YES,NO,YES,9,25,6,12,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
15,99,99,99,NO,YES,NO,NO,NO,NO,YES,99,0,0,0,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
16,128,128,128,NO,NO,NO,YES,YES,NO,YES,20,102,2,4,0,0,NO,CONCORDANCE-DERIVED-ONLY
17,111,111,111,NO,NO,NO,YES,YES,NO,YES,11,91,3,6,0,0,NO,CONCORDANCE-DERIVED-ONLY
18,110,110,110,NO,NO,NO,YES,YES,NO,YES,13,84,5,8,0,0,NO,CONCORDANCE-DERIVED-ONLY
19,98,98,98,NO,NO,NO,YES,YES,NO,YES,17,66,5,10,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
20,135,135,135,NO,NO,NO,YES,YES,NO,YES,28,80,9,18,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
21,112,112,112,NO,NO,NO,YES,YES,NO,YES,72,37,1,2,0,0,NO,CONCORDANCE-DERIVED-ONLY
22,78,78,78,NO,NO,NO,YES,YES,NO,YES,20,50,2,6,0,0,NO,CONCORDANCE-DERIVED-ONLY
23,118,118,118,NO,NO,NO,YES,YES,NO,YES,27,86,1,4,0,0,NO,CONCORDANCE-DERIVED-ONLY
24,64,64,64,NO,NO,NO,YES,YES,NO,YES,40,18,2,4,0,0,NO,CONCORDANCE-DERIVED-ONLY
25,77,77,77,NO,NO,NO,YES,YES,NO,YES,13,58,2,4,0,0,NO,CONCORDANCE-DERIVED-ONLY
26,227,228,228,YES,NO,NO,YES,YES,NO,YES,153,70,1,4,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
27,93,95,95,YES,NO,NO,NO,YES,NO,YES,43,48,0,4,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
28,88,88,88,NO,NO,NO,YES,YES,NO,YES,65,20,1,2,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
29,69,69,69,NO,NO,NO,YES,YES,NO,YES,17,49,1,2,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
30,60,60,60,NO,NO,NO,YES,YES,NO,YES,5,52,1,2,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
31,34,34,34,NO,NO,NO,YES,YES,NO,YES,1,30,1,2,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
32,30,30,30,NO,NO,NO,YES,YES,NO,YES,20,7,1,2,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
33,73,73,73,NO,NO,NO,YES,YES,NO,YES,63,7,1,2,0,0,NO,CONCORDANCE-DERIVED-ONLY
34,54,54,54,NO,NO,NO,YES,YES,NO,YES,9,42,1,2,0,0,NO,CONCORDANCE-DERIVED-ONLY
35,45,45,45,NO,NO,NO,YES,YES,NO,YES,6,28,3,8,0,0,NO,CONCORDANCE-DERIVED-ONLY
36,83,83,84,NO,NO,NO,YES,YES,YES,YES,52,28,1,2,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
37,182,182,182,NO,NO,NO,YES,YES,NO,YES,108,69,2,3,0,0,NO,CONCORDANCE-DERIVED-ONLY
38,88,88,88,NO,NO,NO,YES,YES,NO,YES,33,49,2,4,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
39,75,75,75,NO,NO,NO,YES,YES,NO,YES,14,53,3,5,0,0,NO,CONCORDANCE-DERIVED-ONLY
40,85,85,85,NO,NO,NO,YES,YES,NO,YES,25,48,4,8,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
41,54,54,54,NO,NO,NO,YES,YES,NO,YES,27,24,1,2,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
42,53,53,53,NO,NO,NO,YES,YES,NO,YES,2,43,2,6,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
43,89,89,89,NO,NO,NO,YES,YES,NO,YES,37,49,1,2,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
44,59,59,59,NO,NO,NO,YES,YES,NO,YES,22,34,1,2,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
